k_ins,k_del,k_sub,nw_coeff,scrambled_correlation,fail_correlation,core_value_min,core_value_max,core_value_mean,core_value_std,fail_core_min,fail_core_max,fail_core_mean,fail_core_std
1.5,1.5,2.0,0.8,-0.09308539431181713,0.9504988483770139,0.0,1.4666666666666668,0.629505965451743,0.23805709003422934,0.0,1.6,0.8946596875470353,0.43541465096064663
1.5,2.0,0.5,0.2,0.9927000224823311,-0.48926549921453055,0.0,0.9,0.489583025556979,0.22257995650536255,0.0,0.8777777777777778,0.45586586529539247,0.3517312338411948
1.5,2.0,0.5,0.5,0.8778784841776595,-0.26754276952795236,0.0,0.75,0.4170334615414209,0.14014511034822558,0.0,0.6944444444444444,0.37785583500285685,0.19871707715610953
1.5,2.0,0.5,0.8,0.22765993821926847,0.6346588201408585,0.0,0.6,0.3444838975258628,0.1102768736748591,0.0,0.5111111111111111,0.29984580471032124,0.10361366025035221
1.5,2.0,1.0,0.2,0.9730489101706661,-0.42306156383880705,0.0,1.0,0.5419323145711169,0.21927867613478735,0.0,0.9555555555555556,0.5054336888651186,0.3382048536972199
1.5,2.0,1.0,0.5,0.6355598654797806,0.09995491987527999,0.0,1.0,0.5479066840767657,0.16373713195834402,0.0,0.8888888888888888,0.5017753939271723,0.19364620949515626
1.5,2.0,1.0,0.8,-0.02589527723432894,0.8902630187022719,0.0,1.0,0.5538810535824144,0.2023294698191204,0.0,0.8222222222222222,0.4981170989892259,0.20420173947750783
1.5,2.0,1.5,0.2,0.953652641960521,-0.34899058830447166,0.0,1.0571428571428572,0.5730408863399411,0.21812472435183697,0.0,1.0333333333333334,0.5550015124348447,0.3268655222067635
1.5,2.0,1.5,0.5,0.4836841054332883,0.4251462306060833,0.0,1.1428571428571428,0.6256781134988261,0.18747898801905943,0.0,1.0833333333333335,0.6256949528514877,0.2161070551004216
1.5,2.0,1.5,0.8,-0.10100312535083875,0.9356799916142512,0.0,1.3333333333333335,0.678315340657711,0.2638928879416563,0.0,1.2000000000000002,0.6963883932681306,0.3183002664663385
1.5,2.0,2.0,0.2,0.9521470887619423,-0.2675427695279524,0.0,1.07,0.5776132027988786,0.21729039131629768,0.0,1.1111111111111112,0.604569336004571,0.31794732344977533
